Species name (original dataset),mb (g),Log10 mb (g),BMR (ml O2 h-1),Log10 BMR (ml O2 h-1),,,Longitude (°),Altitude (m),,,,
Lemmus sibiricus,64,1.81,158.08,2.2,,,-156.78,12,,,,
Lemniscomys rosalia,50.53,1.7,61.29,1.79,,,30.8,1212,,,,
Leptailurus serval,10100,4,3127.86,3.5,,,22.57,1121,,,,
Leptonycteris curasoae,24,1.38,33.83,1.53,,,-70.14,10,,,,
Lepus alleni,3362,3.53,1514.93,3.18,,,-111.1,847,,,,
Liomys irroratus,44.9,1.65,60.21,1.78,,,-97.43,8,,,,
Liomys salvini,42.7,1.63,56.11,1.75,,,-66,38,,,,
Loris tardigradus,284,2.45,127.8,2.11,,,77.2,219,,,,
Lutreolina crassicaudata,812,2.91,406,2.61,,,-61.9,85,,,,
Macroderma gigas,107,2.03,94.03,1.97,,,147.8,263,,,,
Macroglossus minimus,16.3,1.21,14.43,1.16,,,145.46,341,,,,
Macropus giganteus,26200,4.42,5226.37,3.72,,,145.35,102,,,,
Macropus rufus,32490,4.51,5777.61,3.76,,,145.34,102,,,,
Macroscelides proboscideus,38.8,1.59,51.99,1.72,,,22.58,846,,,,
Macrotis lagotis,1011,3,353.73,2.55,,,126.34,469,,,,
Madoqua kirkii,4600,3.66,1930.35,3.29,,,30.54,626,,,,
Malacothrix typica,21.7,1.34,20.62,1.31,,,24.77,1199,,,,
Marmosa robinsoni,122,2.09,97,1.99,,,-79.9,21,,,,
Martes americana,900,2.95,594.9,2.77,,,-106.03,3043,,,,
Mastomys natalensis,41.49,1.62,32.78,1.52,,,28.18,1374,,,,
Megadontomys thomasi,111,2.05,123.88,2.09,,,-99.5,1785,,,,
Melonycteris melanops,53.3,1.73,43.28,1.64,,,145.6,534,,,,
Meriones hurrianae,72.3,1.86,53.5,1.73,,,73.02,217,,,,
Meriones unguiculatus,58.1,1.76,123.75,2.09,,,116.07,1022,,,,
Metachirus nudicaudatus,336,2.53,204.96,2.31,,,-79.9,21,,,,
Microcavia niata,255,2.41,175.7,2.24,,,-69.45,4068,,,,
Microdipodops megacephalus,11,1.04,30.82,1.49,,,-118.78,1204,,,,
Microdipodops pallidus,15.2,1.18,19.76,1.3,,,-116.8,1193,,,,
Micromys minutus,7.37,0.87,21.08,1.32,,,20.97,99,,,,
Microtus arvalis,24,1.38,60.2,1.78,,,11.09,69,,,,
Microtus californicus,44,1.64,68.2,1.83,,,-122.25,165,,,,
Microtus guentheri,51.3,1.71,80.1,1.9,,,34.9,26,,,,
